,Release Date,Season,Episode,Episode Title,Name,Sentence,Emotion Label
0,2011-04-17,Season 1,Episode 1,Winter is Coming,waymar royce,"What do you expect? They're savages. One lot steals a goat from another lot and before you know it, they're ripping each other to pieces.",disgust
1,2011-04-17,Season 1,Episode 1,Winter is Coming,will,"I've never seen wildlings do a thing like this. I've never seen a thing like this, not ever in my life.",disgust
2,2011-04-17,Season 1,Episode 1,Winter is Coming,waymar royce,How close did you get?,surprise
3,2011-04-17,Season 1,Episode 1,Winter is Coming,will,Close as any man would.,neutral
4,2011-04-17,Season 1,Episode 1,Winter is Coming,gared,We should head back to the wall.,fear
5,2011-04-17,Season 1,Episode 1,Winter is Coming,royce,Do the dead frighten you?,fear
6,2011-04-17,Season 1,Episode 1,Winter is Coming,gared,Our orders were to track the wildlings. We tracked them. They won't trouble us no more.,neutral
7,2011-04-17,Season 1,Episode 1,Winter is Coming,royce,You don't think he'll ask us how they died? Get back on your horse.,surprise
8,2011-04-17,Season 1,Episode 1,Winter is Coming,will,Whatever did it to them could do it to us. They even killed the children.,anger
9,2011-04-17,Season 1,Episode 1,Winter is Coming,royce,"It's a good thing we're not children. You want to run away south, run away. Of course, they will behead you as a deserter … If I don't catch you first. Get back on your horse. I won't say it again.",anger
10,2011-04-17,Season 1,Episode 1,Winter is Coming,royce,Your dead men seem to have moved camp.,neutral
11,2011-04-17,Season 1,Episode 1,Winter is Coming,will,They were here.,neutral
12,2011-04-17,Season 1,Episode 1,Winter is Coming,gared,See where they went.,neutral
13,2011-04-17,Season 1,Episode 1,Winter is Coming,royce,What is it?,surprise
14,2011-04-17,Season 1,Episode 1,Winter is Coming,gared,It's …,neutral
15,2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,Go on. Father's watching.,neutral
16,2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,And your mother.,anger
17,2011-04-17,Season 1,Episode 1,Winter is Coming,septa mordane,"Fine work, as always. Well done.",neutral
18,2011-04-17,Season 1,Episode 1,Winter is Coming,sansa stark,Thank you.,neutral
19,2011-04-17,Season 1,Episode 1,Winter is Coming,septa mordane,I love the detail that you've managed to get in this corners. … Quite beautiful … the stitching …,joy
20,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"And which one of you was a marksman at ten? Keep practicing, Bran. Go on.",neutral
21,2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,"Don't think too much, Bran.",neutral
22,2011-04-17,Season 1,Episode 1,Winter is Coming,robb stark,Relax your bow arm.,neutral
23,2011-04-17,Season 1,Episode 1,Winter is Coming,jonrobb,"Quick, Bran, faster!",surprise
24,2011-04-17,Season 1,Episode 1,Winter is Coming,cassel,Lord Stark. My lady. A guardsman just rode in from the hills. They've captured a deserter from the Night's Watch.,disgust
25,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,Get the lads to saddle their horses.,neutral
26,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,Do you have to?,surprise
27,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"He swore an oath, Cat.",disgust
28,2011-04-17,Season 1,Episode 1,Winter is Coming,cassel,"The law is law, my lady.",neutral
29,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"Tell Bran he's coming, too.",neutral
30,2011-04-17,Season 1,Episode 1,Winter is Coming,catelyn stark,Ned. Ten is too young to see such things.,neutral
31,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,He won't be a boy forever. And winter is coming.,neutral
32,2011-04-17,Season 1,Episode 1,Winter is Coming,robb stark,"Lad, go run back and get the rest.",neutral
33,2011-04-17,Season 1,Episode 1,Winter is Coming,will,"White Walkers. I saw the White Walkers. White Walkers. The White Walkers, I saw them.",neutral
34,2011-04-17,Season 1,Episode 1,Winter is Coming,will,"I know I broke my oath. And I know I'm a deserter. I should have gone back to the Wall and warned them. But I saw what I saw. I saw the White Walkers. People need to know. If you can get word to my family, tell them I'm no coward. Tell them I'm sorry.",sadness
35,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"nods yes, and WILL is positioned on the tree limb that serves as a block.",neutral
36,2011-04-17,Season 1,Episode 1,Winter is Coming,will,"Forgive me, lord.",anger
37,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,"In the name of Robert of the House Baratheon, first of his name …",neutral
38,2011-04-17,Season 1,Episode 1,Winter is Coming,jon snow,Don't look away.,fear
39,2011-04-17,Season 1,Episode 1,Winter is Coming,eddard stark,King of the Andals and the First Men …,neutral
